timestamp,protocol,src_ip,dst_ip,packet_length,second,label
1770353712.442796,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.442993,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.443,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.443081,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.44321,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.443216,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.444978,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.445091,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.445098,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.445223,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.445338,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.445344,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.445431,6,74.125.169.72,172.17.18.153,826,1770353712,DoS
1770353712.445753,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.445753,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.44576,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.445853,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.445863,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.445982,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.446075,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.446081,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.447342,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.447513,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.447519,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.447608,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.4477,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.447706,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.447794,6,74.125.169.72,172.17.18.153,826,1770353712,DoS
1770353712.448063,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.448069,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.448147,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.448307,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.448313,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.44839,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.448491,6,74.125.169.72,172.17.18.153,826,1770353712,DoS
1770353712.448497,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.450764,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.45095,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.450958,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.45135,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.451538,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.451545,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.451633,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.451727,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.451734,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.452042,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.452245,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.452245,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.452259,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.452348,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.452353,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.452475,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.452602,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.452611,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.452697,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.452898,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.452906,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.452982,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.453098,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.453107,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.454124,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.45424,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.454252,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.454342,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.454465,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.454471,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.454598,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.454711,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.454717,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.454804,6,74.125.169.72,172.17.18.153,654,1770353712,DoS
1770353712.454966,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.454973,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.455053,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.455183,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.455191,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.45682,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.45706,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.457069,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.457174,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.457291,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.457299,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.457385,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.457568,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.457576,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.457661,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.457787,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.457794,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.457877,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.458006,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.458014,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.459025,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.459144,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.459152,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.459243,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.45937,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.459377,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.459466,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.459671,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.459671,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.459682,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.459803,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.459809,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.459914,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.460005,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.460011,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.46137,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.461491,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.461497,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.461586,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.461762,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.461771,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.461908,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.462022,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.462027,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.463376,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.463578,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.463584,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
